Service,ServiceKey
EAS Pedestal,0
Electrical - Small Electrical Works,1
Building - Other,2
Lane Controllers,3
Lighting - Emergency/Exit,4
Bale Press,5
Signs - Illuminated,6
zCircuit failed fault loop test,7
zNo Mechanical protection to-,8
Lighting - Internal,9
Insect Zapper,10
Power - Power Point,11
Oven - Chicken Steam,12
Public Address System,13
Chicken Oven - Trolley ,14
CCTV DVR,15
Chicken - Warmer,16
Wrapper - No Scale,17
Slicer - Semi-Automatic,18
Door - Automatic Sliding,19
CCTV Camera,20
Cash Transfer System,21
Conveyor System,22
Hot Water System,23
Slicer - Automatic,24
Lighting - External Building,25
Oven - Combination - Electric,26
Oven - Par Bake,27
Electrical - Lighting Control,28
Conveyor Belt - Check Out,29
Door - Roller Shutter - Electric,30
Donut Machine,31
Lift - Goods Lift - Electric,32
Power - Power Factor Correction Unit,33
Compactor,34
Lighting - Car Park,35
Retarder Prover,36
Lift - Goods Lift - Hydraulic,37
Power - Switchboard,38
Pallet Jack - Electric,39
Slicer - Bread,40
Power - Outage/Cut,41
Water Meter,42
Dock Leveller,43
Generator,44
Trolley - Store Stock,45
Divider,46
Mixer,47
Alarm - Door Sensor \ PIR,48
Oven - Rack Oven - Electric,49
Water Chiller,50
Hot Water Urn,51
Oven - Multi Deck - Electric,52
Pallet Jack - Manual,53
Moulder,54
Television,55
Fork Lift - Walkie Stacker,56
Lift - Hoist,57
Door - Automatic Rapid Roller,58
Hotplate,59
Lighting - Cool Room,60
Oven - Convection - Electric,61
Gerni (Pressure Washer),62
(Unknown Catering),63
Case - Multi Deck,64
Case - Serve Over,65
Alarm - Key Pad Fault,66
Meat - Bandsaw,67
Drinking Fountain,68
Voltage optimisation unit,69
Flat Bread Machine,70
Bakery Trolley,71
zBurnt out contactor & associated cables,72
Door - Entrance Roller Shutter - Electric,73
Soap Dispenser,74
Bag Blower/Sealer,75
Drinks Dispenser - Hot,76
Case - Coffin Freezer,77
Door - Entrance Roller Shutter - Manual,78
Trolley - Red Rover,79
Microwave - Catering,80
Slicer - Manual,81
Roving Microphone,82
Ceiling,83
Ice Bunk - Plumbing,84
Lift - Scissor Lift - Built In,85
Door - Single Leaf Door,86
Grease - Trap,87
Register Gate \ Chain,88
Alarm - Panel Tamper Alarm,89
Queue Numbering System,90
Ladder - Portable and Moveable,91
Line Alarm System,92
CCTV Monitor,93
Expense - Cardboard,94
Blocked Toilet,95
Air Conditioning,96
Floor - Carpet,97
Alarm - Fire Alarm System,98
Leaking Tap,99
Expense - Cleaning,100
Verified Book/QR Code Plate,101
Floor - Vinyl floor,102
Trolley - Collection,103
Expense - Pest Control Rodent,104
Cool Room - Frozen,105
Blocked Drain,106
Refrigeration Alarm Unknown,107
Plant Room - Refrigeration,108
Case - Lighting,109
Leaking Pipe,110
Cool Room - Refrigerated,111
Cleaning Scrubber,112
Strip Curtain,113
Expense - Pest Control Fly\Insect,114
Refrigeration Alarm Panel,115
Case - Full Glass Door Freezer,116
Drawers (not register),117
